1, one-three, 1022, three, 272125, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
2, zero, 838, four, 282422, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 0.
3, six, 520, one, 242526, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 0.
4, zero, 818, two, 242126, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 0.
5, one-seven, 1216, two, 272822, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
6, one, 200, two, 242622, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 0.
7, nine, 1338, four, 303021, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
8, two-zero, 1221, three, 272126, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
9, nine, 1390, two, 272823, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
10, one-nine, 1302, four, 232727, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
11, four, 638, four, 292023, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 0.
12, two, 317, four, 282420, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 0.
13, three, 449, two, 242222, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 0.
14, two-one, 967, one, 222326, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
15, eight, 1095, three, 302921, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
16, one-three, 1187, two, 282320, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
17, two-one, 1248, one, 242130, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
18, three, 208, one, 272426, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 0.
19, one-seven, 1297, one, 202120, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
20, one-two, 936, two, 262124, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
21, one-one, 1007, three, 262722, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
22, one-eight, 1198, four, 272920, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
23, one-four, 1020, one, 232920, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
24, one-three, 1352, one, 212322, two-zero-two-one-one-zero-two-five, six-zero-zero, zero, two-zero-two-one-one-zero-two-five, one-two-zero-zero, 0, 20211025, 1800, zero, 1.
